image_path,target_value,feature1,feature2,feature3,feature4
datasets\images\100400正_拼接.jpg,4.805,0.25,0.293333333,0.615384615,0.066666667
datasets\images\101675正_拼接.jpg,7.324,0.75,0.377777778,0.676923077,0.511111111
datasets\images\101619正_拼接.jpg,6.145,0.75,0.377777778,0.6,0.355555556
datasets\images\100557正_拼接.jpg,3.395,0.25,0.293333333,0.538461538,0.155555556
datasets\images\100505正_拼接.jpg,4.95,0.25,0.293333333,0.615384615,0.244444444
datasets\images\101732正_拼接.jpg,3.975,0.75,0.377777778,0.6,0.666666667
datasets\images\100431正_拼接.jpg,5.688,0.25,0.293333333,0.615384615,0.244444444
datasets\images\101697正_拼接.jpg,4.386,0.75,0.377777778,0.6,0.2
datasets\images\100357正_拼接.jpg,2.709,0.25,0.293333333,0.384615385,0.244444444
datasets\images\101573正_拼接.jpg,4.002,0.75,0.377777778,0.523076923,0.355555556
datasets\images\101616正_拼接.jpg,5.617,0.75,0.377777778,0.523076923,0.355555556
datasets\images\101727正_拼接.jpg,2.925,0.75,0.377777778,0.446153846,0.666666667
datasets\images\101636正_拼接.jpg,6.008,0.75,0.377777778,0.446153846,0.666666667
datasets\images\100577正_拼接.jpg,5.187,0.25,0.293333333,0.615384615,0.244444444
datasets\images\100366正_拼接.jpg,5.362,0.25,0.293333333,0.615384615,0.244444444
datasets\images\101720正_拼接.jpg,3.783,0.75,0.377777778,0.6,0.511111111
datasets\images\101664正_拼接.jpg,5.976,0.75,0.377777778,0.676923077,0.355555556
datasets\images\100372正_拼接.jpg,3.252,0.25,0.293333333,0.384615385,0.333333333
datasets\images\101733正_拼接.jpg,7.075,0.75,0.377777778,0.676923077,0.666666667
datasets\images\100591正_拼接.jpg,4.902,0.25,0.293333333,0.538461538,0.333333333
datasets\images\100571正_拼接.jpg,3.247,0.25,0.293333333,0.461538462,0.244444444
datasets\images\100488正_拼接.jpg,3.276,0.25,0.293333333,0.615384615,0.155555556
datasets\images\101627正_拼接.jpg,6.593,0.75,0.377777778,0.523076923,0.511111111
datasets\images\101729正_拼接.jpg,3.366,0.75,0.377777778,0.523076923,0.666666667
datasets\images\101629正_拼接.jpg,6.681,0.75,0.377777778,0.6,0.511111111
datasets\images\101622正_拼接.jpg,4.272,0.75,0.377777778,0.369230769,0.511111111
datasets\images\100392正_拼接.jpg,3.071,0.25,0.293333333,0.461538462,0.066666667
datasets\images\101577正_拼接.jpg,6.1,0.75,0.377777778,0.676923077,0.355555556
datasets\images\100369正_拼接.jpg,1.045,0.25,0.293333333,0.307692308,0.333333333
datasets\images\101681正_拼接.jpg,5.572,0.75,0.377777778,0.523076923,0.666666667
datasets\images\101614正_拼接.jpg,5.023,0.75,0.377777778,0.446153846,0.355555556
datasets\images\101604正_拼接.jpg,4.243,0.75,0.377777778,0.446153846,0.2
datasets\images\101585正_拼接.jpg,5.825,0.75,0.377777778,0.6,0.511111111
datasets\images\100540正_拼接.jpg,4.075,0.25,0.293333333,0.538461538,0.066666667
datasets\images\100554正_拼接.jpg,2.125,0.25,0.293333333,0.461538462,0.155555556
datasets\images\101626正_拼接.jpg,6.128,0.75,0.377777778,0.523076923,0.511111111
datasets\images\101685正_拼接.jpg,7.625,0.75,0.377777778,0.676923077,0.666666667
datasets\images\101565正_拼接.jpg,2.706,0.75,0.377777778,0.6,0.2
datasets\images\101705正_拼接.jpg,5.06,0.75,0.377777778,0.523076923,0.355555556
datasets\images\100607正_拼接.jpg,2.449,0.25,0.293333333,0.384615385,0.155555556
datasets\images\101593正_拼接.jpg,3.939,0.75,0.377777778,0.446153846,0.666666667
datasets\images\101654正_拼接.jpg,1.389,0.75,0.377777778,0.676923077,0.2
datasets\images\101714正_拼接.jpg,3.663,0.75,0.377777778,0.446153846,0.511111111
datasets\images\101605正_拼接.jpg,4.78,0.75,0.377777778,0.523076923,0.2
datasets\images\101584正_拼接.jpg,5.136,0.75,0.377777778,0.523076923,0.511111111
datasets\images\100541正_拼接.jpg,2.73,0.25,0.293333333,0.538461538,0.066666667
datasets\images\100586正_拼接.jpg,4.58,0.25,0.293333333,0.461538462,0.333333333
datasets\images\101566正_拼接.jpg,3.584,0.75,0.377777778,0.676923077,0.2
datasets\images\101574正_拼接.jpg,4.505,0.75,0.377777778,0.6,0.355555556
