image_path,target_value
datasets\images\100400正.jpg,4.805
datasets\images\101675正.jpg,7.324
datasets\images\101619正.jpg,6.145
datasets\images\100557正.jpg,3.395
datasets\images\100505正.jpg,4.95
datasets\images\101732正.jpg,3.975
datasets\images\100431正.jpg,5.688
datasets\images\101697正.jpg,4.386
datasets\images\100357正.jpg,2.709
datasets\images\101573正.jpg,4.002
datasets\images\101616正.jpg,5.617
datasets\images\101727正.jpg,2.925
datasets\images\101636正.jpg,6.008
datasets\images\100577正.jpg,5.187
datasets\images\100366正.jpg,5.362
datasets\images\101720正.jpg,3.783
datasets\images\101664正.jpg,5.976
datasets\images\100372正.jpg,3.252
datasets\images\101733正.jpg,7.075
datasets\images\100591正.jpg,4.902
datasets\images\100571正.jpg,3.247
datasets\images\100488正.jpg,3.276
datasets\images\101627正.jpg,6.593
datasets\images\101729正.jpg,3.366
datasets\images\101629正.jpg,6.681
datasets\images\101622正.jpg,4.272
datasets\images\100392正.jpg,3.071
datasets\images\101577正.jpg,6.1
datasets\images\100369正.jpg,1.045
datasets\images\101681正.jpg,5.572
datasets\images\101614正.jpg,5.023
datasets\images\101604正.jpg,4.243
datasets\images\101585正.jpg,5.825
datasets\images\100540正.jpg,4.075
datasets\images\100554正.jpg,2.125
datasets\images\101626正.jpg,6.128
datasets\images\101685正.jpg,7.625
datasets\images\101565正.jpg,2.706
datasets\images\101705正.jpg,5.06
datasets\images\100607正.jpg,2.449
datasets\images\101593正.jpg,3.939
datasets\images\101654正.jpg,1.389
datasets\images\101714正.jpg,3.663
datasets\images\101605正.jpg,4.78
datasets\images\101584正.jpg,5.136
datasets\images\100541正.jpg,2.73
datasets\images\100586正.jpg,4.58
datasets\images\101566正.jpg,3.584
datasets\images\101574正.jpg,4.505
datasets\images\100416正.jpg,5.58
datasets\images\100383正.jpg,5.738
datasets\images\101698正.jpg,3.139
datasets\images\101596正.jpg,6.014
datasets\images\100399正.jpg,4.721
datasets\images\100374正.jpg,4.732
datasets\images\101699正.jpg,4.952
datasets\images\101564正.jpg,1.615
datasets\images\100538正.jpg,0.931
datasets\images\100521正.jpg,5.823
datasets\images\100347正.jpg,4.268
datasets\images\101672正.jpg,5.187
datasets\images\100489正.jpg,3.449
datasets\images\101567正.jpg,4.364
datasets\images\101638正.jpg,7.084
