image_path,target_value
datasets\images\100330正.jpg,4.522
datasets\images\100331正.jpg,3.919
datasets\images\100343正.jpg,3.973
datasets\images\100344正.jpg,2.95
datasets\images\100346正.jpg,4.971
datasets\images\100347正.jpg,4.268
datasets\images\100349正.jpg,5.268
datasets\images\100350正.jpg,5.058
datasets\images\100356正.jpg,2.915
datasets\images\100357正.jpg,2.709
datasets\images\100359正.jpg,4.249
datasets\images\100360正.jpg,4.118
datasets\images\100362正.jpg,5.073
datasets\images\100363正.jpg,4.79
datasets\images\100365正.jpg,5.658
datasets\images\100366正.jpg,5.362
datasets\images\100369正.jpg,1.045
datasets\images\100371正.jpg,3.464
datasets\images\100372正.jpg,3.252
datasets\images\100374正.jpg,4.732
datasets\images\100377正.jpg,4.339
datasets\images\100379正.jpg,5.387
datasets\images\100380正.jpg,5.1
datasets\images\100382正.jpg,6.12
datasets\images\100383正.jpg,5.738
datasets\images\100392正.jpg,3.071
datasets\images\100393正.jpg,3.114
datasets\images\100395正.jpg,3.983
datasets\images\100397正.jpg,4.124
datasets\images\100399正.jpg,4.721
datasets\images\100400正.jpg,4.805
datasets\images\100405正.jpg,2.476
datasets\images\100406正.jpg,2.825
datasets\images\100409正.jpg,3.784
datasets\images\100410正.jpg,3.966
datasets\images\100412正.jpg,4.666
datasets\images\100413正.jpg,5.053
datasets\images\100415正.jpg,5.399
datasets\images\100416正.jpg,5.58
datasets\images\100421正.jpg,3.509
datasets\images\100422正.jpg,3.665
datasets\images\100424正.jpg,4.472
datasets\images\100425正.jpg,4.706
datasets\images\100428正.jpg,5.075
datasets\images\100429正.jpg,5.565
datasets\images\100431正.jpg,5.688
datasets\images\100432正.jpg,6.246
datasets\images\100437正.jpg,3.869
datasets\images\100438正.jpg,4.118
datasets\images\100440正.jpg,4.79
datasets\images\100441正.jpg,5.215
datasets\images\100443正.jpg,5.532
datasets\images\100444正.jpg,5.904
datasets\images\100447正.jpg,5.919
datasets\images\100448正.jpg,6.373
datasets\images\100488正.jpg,3.276
datasets\images\100489正.jpg,3.449
datasets\images\100501正.jpg,2.866
datasets\images\100502正.jpg,3.043
datasets\images\100504正.jpg,4.351
datasets\images\100505正.jpg,4.95
datasets\images\100513正.jpg,2.278
datasets\images\100514正.jpg,1.712
datasets\images\100517正.jpg,3.578
datasets\images\100518正.jpg,4.276
datasets\images\100520正.jpg,4.983
datasets\images\100521正.jpg,5.823
datasets\images\100538正.jpg,0.931
datasets\images\100540正.jpg,4.075
datasets\images\100541正.jpg,2.73
datasets\images\100543正.jpg,4.759
datasets\images\100544正.jpg,3.383
datasets\images\100553正.jpg,3.476
datasets\images\100554正.jpg,2.125
datasets\images\100556正.jpg,5.394
datasets\images\100557正.jpg,3.395
datasets\images\100559正.jpg,4.518
datasets\images\100560正.jpg,3.777
datasets\images\100570正.jpg,3.805
datasets\images\100571正.jpg,3.247
datasets\images\100572正.jpg,5.069
datasets\images\100573正.jpg,3.094
datasets\images\100577正.jpg,5.187
datasets\images\100578正.jpg,3.795
datasets\images\100586正.jpg,4.58
datasets\images\100587正.jpg,2.875
datasets\images\100591正.jpg,4.902
datasets\images\100592正.jpg,3.18
datasets\images\100594正.jpg,5.292
datasets\images\100595正.jpg,3.553
datasets\images\100598正.jpg,1.565
datasets\images\100601正.jpg,3.428
datasets\images\100602正.jpg,2.931
datasets\images\100607正.jpg,2.449
datasets\images\100608正.jpg,1.771
datasets\images\101564正.jpg,1.615
datasets\images\101565正.jpg,2.706
datasets\images\101566正.jpg,3.584
datasets\images\101567正.jpg,4.364
datasets\images\101572正.jpg,3.068
datasets\images\101573正.jpg,4.002
datasets\images\101574正.jpg,4.505
datasets\images\101575正.jpg,5.206
datasets\images\101576正.jpg,5.703
datasets\images\101577正.jpg,6.1
datasets\images\101580正.jpg,2.322
datasets\images\101581正.jpg,3.563
datasets\images\101583正.jpg,4.847
datasets\images\101584正.jpg,5.136
datasets\images\101585正.jpg,5.825
datasets\images\101586正.jpg,6.183
datasets\images\101587正.jpg,6.892
datasets\images\101588正.jpg,7.723
datasets\images\101589正.jpg,1.027
datasets\images\101590正.jpg,2.274
datasets\images\101593正.jpg,3.939
datasets\images\101594正.jpg,4.442
datasets\images\101595正.jpg,5.392
datasets\images\101596正.jpg,6.014
datasets\images\101597正.jpg,6.312
datasets\images\101598正.jpg,7.042
datasets\images\101599正.jpg,6.886
datasets\images\101600正.jpg,7.014
datasets\images\101601正.jpg,1.601
datasets\images\101602正.jpg,2.684
datasets\images\101603正.jpg,3.981
datasets\images\101604正.jpg,4.243
datasets\images\101605正.jpg,4.78
datasets\images\101606正.jpg,5.164
datasets\images\101607正.jpg,4.79
datasets\images\101608正.jpg,5.096
datasets\images\101609正.jpg,5.222
datasets\images\101610正.jpg,5.421
datasets\images\101611正.jpg,3.854
datasets\images\101612正.jpg,4.23
datasets\images\101614正.jpg,5.023
datasets\images\101615正.jpg,5.074
datasets\images\101616正.jpg,5.617
datasets\images\101617正.jpg,6.009
datasets\images\101618正.jpg,5.94
datasets\images\101619正.jpg,6.145
datasets\images\101620正.jpg,6.355
datasets\images\101621正.jpg,6.635
datasets\images\101622正.jpg,4.272
datasets\images\101623正.jpg,4.541
datasets\images\101624正.jpg,5.333
datasets\images\101625正.jpg,5.654
datasets\images\101626正.jpg,6.128
datasets\images\101627正.jpg,6.593
datasets\images\101628正.jpg,6.517
datasets\images\101629正.jpg,6.681
datasets\images\101630正.jpg,6.95
datasets\images\101631正.jpg,7.325
datasets\images\101632正.jpg,4.86
datasets\images\101633正.jpg,5.193
datasets\images\101635正.jpg,5.519
datasets\images\101636正.jpg,6.008
datasets\images\101637正.jpg,6.639
datasets\images\101638正.jpg,7.084

